count,method,n_real,pred_class,seed,true_class
35,real_only,10,base_imbalance,2,lead_screw_anomaly
30,real_only,10,normal_machining,2,base_imbalance
13,real_only,10,lead_screw_anomaly,2,base_imbalance
24,real_only,10,base_imbalance,2,base_imbalance
3,noise_aug,10,normal_machining,2,normal_machining
62,noise_aug,10,lead_screw_anomaly,2,normal_machining
6,noise_aug,10,base_imbalance,2,normal_machining
27,noise_aug,10,normal_machining,2,lead_screw_anomaly
40,noise_aug,10,lead_screw_anomaly,2,lead_screw_anomaly
52,noise_aug,10,base_imbalance,2,lead_screw_anomaly
15,noise_aug,10,normal_machining,2,base_imbalance
37,noise_aug,10,lead_screw_anomaly,2,base_imbalance
15,noise_aug,10,base_imbalance,2,base_imbalance
6,llm_closed_loop,10,normal_machining,2,normal_machining
58,llm_closed_loop,10,lead_screw_anomaly,2,normal_machining
7,llm_closed_loop,10,base_imbalance,2,normal_machining
42,llm_closed_loop,10,normal_machining,2,lead_screw_anomaly
39,llm_closed_loop,10,lead_screw_anomaly,2,lead_screw_anomaly
38,llm_closed_loop,10,base_imbalance,2,lead_screw_anomaly
1,llm_closed_loop,10,normal_machining,2,base_imbalance
54,llm_closed_loop,10,lead_screw_anomaly,2,base_imbalance
12,llm_closed_loop,10,base_imbalance,2,base_imbalance
7,rule_verified,10,normal_machining,2,normal_machining
60,rule_verified,10,lead_screw_anomaly,2,normal_machining
4,rule_verified,10,base_imbalance,2,normal_machining
56,rule_verified,10,normal_machining,2,lead_screw_anomaly
24,rule_verified,10,lead_screw_anomaly,2,lead_screw_anomaly
39,rule_verified,10,base_imbalance,2,lead_screw_anomaly
8,rule_verified,10,normal_machining,2,base_imbalance
28,rule_verified,10,lead_screw_anomaly,2,base_imbalance
31,rule_verified,10,base_imbalance,2,base_imbalance
9,random_open_loop,10,normal_machining,2,normal_machining
59,random_open_loop,10,lead_screw_anomaly,2,normal_machining
3,random_open_loop,10,base_imbalance,2,normal_machining
48,random_open_loop,10,normal_machining,2,lead_screw_anomaly
41,random_open_loop,10,lead_screw_anomaly,2,lead_screw_anomaly
30,random_open_loop,10,base_imbalance,2,lead_screw_anomaly
4,random_open_loop,10,normal_machining,2,base_imbalance
44,random_open_loop,10,lead_screw_anomaly,2,base_imbalance
19,random_open_loop,10,base_imbalance,2,base_imbalance
17,real_only,10,normal_machining,3,normal_machining
48,real_only,10,lead_screw_anomaly,3,normal_machining
6,real_only,10,base_imbalance,3,normal_machining
57,real_only,10,normal_machining,3,lead_screw_anomaly
37,real_only,10,lead_screw_anomaly,3,lead_screw_anomaly
25,real_only,10,base_imbalance,3,lead_screw_anomaly
6,real_only,10,normal_machining,3,base_imbalance
45,real_only,10,lead_screw_anomaly,3,base_imbalance
16,real_only,10,base_imbalance,3,base_imbalance
23,noise_aug,10,normal_machining,3,normal_machining
42,noise_aug,10,lead_screw_anomaly,3,normal_machining
6,noise_aug,10,base_imbalance,3,normal_machining
71,noise_aug,10,normal_machining,3,lead_screw_anomaly
10,noise_aug,10,lead_screw_anomaly,3,lead_screw_anomaly
38,noise_aug,10,base_imbalance,3,lead_screw_anomaly
4,noise_aug,10,normal_machining,3,base_imbalance
41,noise_aug,10,lead_screw_anomaly,3,base_imbalance
22,noise_aug,10,base_imbalance,3,base_imbalance
23,llm_closed_loop,10,normal_machining,3,normal_machining
48,llm_closed_loop,10,lead_screw_anomaly,3,normal_machining
0,llm_closed_loop,10,base_imbalance,3,normal_machining
74,llm_closed_loop,10,normal_machining,3,lead_screw_anomaly
27,llm_closed_loop,10,lead_screw_anomaly,3,lead_screw_anomaly
18,llm_closed_loop,10,base_imbalance,3,lead_screw_anomaly
7,llm_closed_loop,10,normal_machining,3,base_imbalance
18,llm_closed_loop,10,lead_screw_anomaly,3,base_imbalance
42,llm_closed_loop,10,base_imbalance,3,base_imbalance
17,rule_verified,10,normal_machining,3,normal_machining
48,rule_verified,10,lead_screw_anomaly,3,normal_machining
6,rule_verified,10,base_imbalance,3,normal_machining
67,rule_verified,10,normal_machining,3,lead_screw_anomaly
25,rule_verified,10,lead_screw_anomaly,3,lead_screw_anomaly
27,rule_verified,10,base_imbalance,3,lead_screw_anomaly
13,rule_verified,10,normal_machining,3,base_imbalance
13,rule_verified,10,lead_screw_anomaly,3,base_imbalance
41,rule_verified,10,base_imbalance,3,base_imbalance
24,random_open_loop,10,normal_machining,3,normal_machining
43,random_open_loop,10,lead_screw_anomaly,3,normal_machining
4,random_open_loop,10,base_imbalance,3,normal_machining
76,random_open_loop,10,normal_machining,3,lead_screw_anomaly
24,random_open_loop,10,lead_screw_anomaly,3,lead_screw_anomaly
19,random_open_loop,10,base_imbalance,3,lead_screw_anomaly
9,random_open_loop,10,normal_machining,3,base_imbalance
26,random_open_loop,10,lead_screw_anomaly,3,base_imbalance
32,random_open_loop,10,base_imbalance,3,base_imbalance
19,real_only,10,normal_machining,4,normal_machining
43,real_only,10,lead_screw_anomaly,4,normal_machining
9,real_only,10,base_imbalance,4,normal_machining
59,real_only,10,normal_machining,4,lead_screw_anomaly
15,real_only,10,lead_screw_anomaly,4,lead_screw_anomaly
45,real_only,10,base_imbalance,4,lead_screw_anomaly
9,real_only,10,normal_machining,4,base_imbalance
21,real_only,10,lead_screw_anomaly,4,base_imbalance
37,real_only,10,base_imbalance,4,base_imbalance
14,noise_aug,10,normal_machining,4,normal_machining
50,noise_aug,10,lead_screw_anomaly,4,normal_machining
7,noise_aug,10,base_imbalance,4,normal_machining
55,noise_aug,10,normal_machining,4,lead_screw_anomaly
20,noise_aug,10,lead_screw_anomaly,4,lead_screw_anomaly
44,noise_aug,10,base_imbalance,4,lead_screw_anomaly
9,noise_aug,10,normal_machining,4,base_imbalance
45,noise_aug,10,lead_screw_anomaly,4,base_imbalance
13,noise_aug,10,base_imbalance,4,base_imbalance
16,llm_closed_loop,10,normal_machining,4,normal_machining
50,llm_closed_loop,10,lead_screw_anomaly,4,normal_machining
5,llm_closed_loop,10,base_imbalance,4,normal_machining
47,llm_closed_loop,10,normal_machining,4,lead_screw_anomaly
46,llm_closed_loop,10,lead_screw_anomaly,4,lead_screw_anomaly
26,llm_closed_loop,10,base_imbalance,4,lead_screw_anomaly
0,llm_closed_loop,10,normal_machining,4,base_imbalance
54,llm_closed_loop,10,lead_screw_anomaly,4,base_imbalance
13,llm_closed_loop,10,base_imbalance,4,base_imbalance
26,rule_verified,10,normal_machining,4,normal_machining
42,rule_verified,10,lead_screw_anomaly,4,normal_machining
3,rule_verified,10,base_imbalance,4,normal_machining
88,rule_verified,10,normal_machining,4,lead_screw_anomaly
5,rule_verified,10,lead_screw_anomaly,4,lead_screw_anomaly
26,rule_verified,10,base_imbalance,4,lead_screw_anomaly
13,rule_verified,10,normal_machining,4,base_imbalance
19,rule_verified,10,lead_screw_anomaly,4,base_imbalance
35,rule_verified,10,base_imbalance,4,base_imbalance
22,random_open_loop,10,normal_machining,4,normal_machining
40,random_open_loop,10,lead_screw_anomaly,4,normal_machining
9,random_open_loop,10,base_imbalance,4,normal_machining
59,random_open_loop,10,normal_machining,4,lead_screw_anomaly
10,random_open_loop,10,lead_screw_anomaly,4,lead_screw_anomaly
50,random_open_loop,10,base_imbalance,4,lead_screw_anomaly
0,random_open_loop,10,normal_machining,4,base_imbalance
14,random_open_loop,10,lead_screw_anomaly,4,base_imbalance
53,random_open_loop,10,base_imbalance,4,base_imbalance
32,real_only,10,normal_machining,5,normal_machining
31,real_only,10,lead_screw_anomaly,5,normal_machining
8,real_only,10,base_imbalance,5,normal_machining
58,real_only,10,normal_machining,5,lead_screw_anomaly
35,real_only,10,lead_screw_anomaly,5,lead_screw_anomaly
26,real_only,10,base_imbalance,5,lead_screw_anomaly
0,real_only,10,normal_machining,5,base_imbalance
51,real_only,10,lead_screw_anomaly,5,base_imbalance
16,real_only,10,base_imbalance,5,base_imbalance
15,noise_aug,10,normal_machining,5,normal_machining
49,noise_aug,10,lead_screw_anomaly,5,normal_machining
7,noise_aug,10,base_imbalance,5,normal_machining
55,noise_aug,10,normal_machining,5,lead_screw_anomaly
33,noise_aug,10,lead_screw_anomaly,5,lead_screw_anomaly
31,noise_aug,10,base_imbalance,5,lead_screw_anomaly
17,noise_aug,10,normal_machining,5,base_imbalance
40,noise_aug,10,lead_screw_anomaly,5,base_imbalance
10,noise_aug,10,base_imbalance,5,base_imbalance
24,llm_closed_loop,10,normal_machining,5,normal_machining
44,llm_closed_loop,10,lead_screw_anomaly,5,normal_machining
3,llm_closed_loop,10,base_imbalance,5,normal_machining
64,llm_closed_loop,10,normal_machining,5,lead_screw_anomaly
35,llm_closed_loop,10,lead_screw_anomaly,5,lead_screw_anomaly
20,llm_closed_loop,10,base_imbalance,5,lead_screw_anomaly
7,llm_closed_loop,10,normal_machining,5,base_imbalance
43,llm_closed_loop,10,lead_screw_anomaly,5,base_imbalance
17,llm_closed_loop,10,base_imbalance,5,base_imbalance
54,rule_verified,10,normal_machining,5,normal_machining
15,rule_verified,10,lead_screw_anomaly,5,normal_machining
2,rule_verified,10,base_imbalance,5,normal_machining
106,rule_verified,10,normal_machining,5,lead_screw_anomaly
4,rule_verified,10,lead_screw_anomaly,5,lead_screw_anomaly
9,rule_verified,10,base_imbalance,5,lead_screw_anomaly
39,rule_verified,10,normal_machining,5,base_imbalance
24,rule_verified,10,lead_screw_anomaly,5,base_imbalance
4,rule_verified,10,base_imbalance,5,base_imbalance
40,random_open_loop,10,normal_machining,5,normal_machining
20,random_open_loop,10,lead_screw_anomaly,5,normal_machining
11,random_open_loop,10,base_imbalance,5,normal_machining
68,random_open_loop,10,normal_machining,5,lead_screw_anomaly
21,random_open_loop,10,lead_screw_anomaly,5,lead_screw_anomaly
30,random_open_loop,10,base_imbalance,5,lead_screw_anomaly
6,random_open_loop,10,normal_machining,5,base_imbalance
16,random_open_loop,10,lead_screw_anomaly,5,base_imbalance
45,random_open_loop,10,base_imbalance,5,base_imbalance
28,real_only,10,normal_machining,6,normal_machining
35,real_only,10,lead_screw_anomaly,6,normal_machining
8,real_only,10,base_imbalance,6,normal_machining
54,real_only,10,normal_machining,6,lead_screw_anomaly
36,real_only,10,lead_screw_anomaly,6,lead_screw_anomaly
29,real_only,10,base_imbalance,6,lead_screw_anomaly
2,real_only,10,normal_machining,6,base_imbalance
48,real_only,10,lead_screw_anomaly,6,base_imbalance
17,real_only,10,base_imbalance,6,base_imbalance
15,noise_aug,10,normal_machining,6,normal_machining
51,noise_aug,10,lead_screw_anomaly,6,normal_machining
5,noise_aug,10,base_imbalance,6,normal_machining
45,noise_aug,10,normal_machining,6,lead_screw_anomaly
56,noise_aug,10,lead_screw_anomaly,6,lead_screw_anomaly
18,noise_aug,10,base_imbalance,6,lead_screw_anomaly
8,noise_aug,10,normal_machining,6,base_imbalance
53,noise_aug,10,lead_screw_anomaly,6,base_imbalance
6,noise_aug,10,base_imbalance,6,base_imbalance
20,llm_closed_loop,10,normal_machining,6,normal_machining
41,llm_closed_loop,10,lead_screw_anomaly,6,normal_machining
10,llm_closed_loop,10,base_imbalance,6,normal_machining
41,llm_closed_loop,10,normal_machining,6,lead_screw_anomaly
49,llm_closed_loop,10,lead_screw_anomaly,6,lead_screw_anomaly
29,llm_closed_loop,10,base_imbalance,6,lead_screw_anomaly
1,llm_closed_loop,10,normal_machining,6,base_imbalance
57,llm_closed_loop,10,lead_screw_anomaly,6,base_imbalance
9,llm_closed_loop,10,base_imbalance,6,base_imbalance
41,rule_verified,10,normal_machining,6,normal_machining
19,rule_verified,10,lead_screw_anomaly,6,normal_machining
11,rule_verified,10,base_imbalance,6,normal_machining
58,rule_verified,10,normal_machining,6,lead_screw_anomaly
15,rule_verified,10,lead_screw_anomaly,6,lead_screw_anomaly
46,rule_verified,10,base_imbalance,6,lead_screw_anomaly
4,rule_verified,10,normal_machining,6,base_imbalance
45,rule_verified,10,lead_screw_anomaly,6,base_imbalance
18,rule_verified,10,base_imbalance,6,base_imbalance
9,random_open_loop,10,normal_machining,6,normal_machining
51,random_open_loop,10,lead_screw_anomaly,6,normal_machining
11,random_open_loop,10,base_imbalance,6,normal_machining
39,random_open_loop,10,normal_machining,6,lead_screw_anomaly
34,random_open_loop,10,lead_screw_anomaly,6,lead_screw_anomaly
46,random_open_loop,10,base_imbalance,6,lead_screw_anomaly
0,random_open_loop,10,normal_machining,6,base_imbalance
54,random_open_loop,10,lead_screw_anomaly,6,base_imbalance
13,random_open_loop,10,base_imbalance,6,base_imbalance
31,real_only,10,normal_machining,7,normal_machining
24,real_only,10,lead_screw_anomaly,7,normal_machining
16,real_only,10,base_imbalance,7,normal_machining
55,real_only,10,normal_machining,7,lead_screw_anomaly
33,real_only,10,lead_screw_anomaly,7,lead_screw_anomaly
31,real_only,10,base_imbalance,7,lead_screw_anomaly
0,real_only,10,normal_machining,7,base_imbalance
25,real_only,10,lead_screw_anomaly,7,base_imbalance
42,real_only,10,base_imbalance,7,base_imbalance
34,noise_aug,10,normal_machining,7,normal_machining
23,noise_aug,10,lead_screw_anomaly,7,normal_machining
14,noise_aug,10,base_imbalance,7,normal_machining
52,noise_aug,10,normal_machining,7,lead_screw_anomaly
26,noise_aug,10,lead_screw_anomaly,7,lead_screw_anomaly
41,noise_aug,10,base_imbalance,7,lead_screw_anomaly
0,noise_aug,10,normal_machining,7,base_imbalance
22,noise_aug,10,lead_screw_anomaly,7,base_imbalance
45,noise_aug,10,base_imbalance,7,base_imbalance
18,llm_closed_loop,10,normal_machining,7,normal_machining
39,llm_closed_loop,10,lead_screw_anomaly,7,normal_machining
14,llm_closed_loop,10,base_imbalance,7,normal_machining
48,llm_closed_loop,10,normal_machining,7,lead_screw_anomaly
24,llm_closed_loop,10,lead_screw_anomaly,7,lead_screw_anomaly
47,llm_closed_loop,10,base_imbalance,7,lead_screw_anomaly
0,llm_closed_loop,10,normal_machining,7,base_imbalance
33,llm_closed_loop,10,lead_screw_anomaly,7,base_imbalance
34,llm_closed_loop,10,base_imbalance,7,base_imbalance
22,rule_verified,10,normal_machining,7,normal_machining
29,rule_verified,10,lead_screw_anomaly,7,normal_machining
20,rule_verified,10,base_imbalance,7,normal_machining
55,rule_verified,10,normal_machining,7,lead_screw_anomaly
11,rule_verified,10,lead_screw_anomaly,7,lead_screw_anomaly
53,rule_verified,10,base_imbalance,7,lead_screw_anomaly
0,rule_verified,10,normal_machining,7,base_imbalance
37,rule_verified,10,lead_screw_anomaly,7,base_imbalance
30,rule_verified,10,base_imbalance,7,base_imbalance
11,random_open_loop,10,normal_machining,7,normal_machining
42,random_open_loop,10,lead_screw_anomaly,7,normal_machining
18,random_open_loop,10,base_imbalance,7,normal_machining
40,random_open_loop,10,normal_machining,7,lead_screw_anomaly
22,random_open_loop,10,lead_screw_anomaly,7,lead_screw_anomaly
57,random_open_loop,10,base_imbalance,7,lead_screw_anomaly
0,random_open_loop,10,normal_machining,7,base_imbalance
31,random_open_loop,10,lead_screw_anomaly,7,base_imbalance
36,random_open_loop,10,base_imbalance,7,base_imbalance
4,real_only,10,normal_machining,8,normal_machining
63,real_only,10,lead_screw_anomaly,8,normal_machining
4,real_only,10,base_imbalance,8,normal_machining
26,real_only,10,normal_machining,8,lead_screw_anomaly
72,real_only,10,lead_screw_anomaly,8,lead_screw_anomaly
21,real_only,10,base_imbalance,8,lead_screw_anomaly
8,real_only,10,normal_machining,8,base_imbalance
21,real_only,10,lead_screw_anomaly,8,base_imbalance
38,real_only,10,base_imbalance,8,base_imbalance
9,noise_aug,10,normal_machining,8,normal_machining
55,noise_aug,10,lead_screw_anomaly,8,normal_machining
7,noise_aug,10,base_imbalance,8,normal_machining
38,noise_aug,10,normal_machining,8,lead_screw_anomaly
61,noise_aug,10,lead_screw_anomaly,8,lead_screw_anomaly
20,noise_aug,10,base_imbalance,8,lead_screw_anomaly
6,noise_aug,10,normal_machining,8,base_imbalance
21,noise_aug,10,lead_screw_anomaly,8,base_imbalance
40,noise_aug,10,base_imbalance,8,base_imbalance
8,llm_closed_loop,10,normal_machining,8,normal_machining
53,llm_closed_loop,10,lead_screw_anomaly,8,normal_machining
10,llm_closed_loop,10,base_imbalance,8,normal_machining
25,llm_closed_loop,10,normal_machining,8,lead_screw_anomaly
78,llm_closed_loop,10,lead_screw_anomaly,8,lead_screw_anomaly
16,llm_closed_loop,10,base_imbalance,8,lead_screw_anomaly
0,llm_closed_loop,10,normal_machining,8,base_imbalance
41,llm_closed_loop,10,lead_screw_anomaly,8,base_imbalance
26,llm_closed_loop,10,base_imbalance,8,base_imbalance
16,rule_verified,10,normal_machining,8,normal_machining
54,rule_verified,10,lead_screw_anomaly,8,normal_machining
1,rule_verified,10,base_imbalance,8,normal_machining
35,rule_verified,10,normal_machining,8,lead_screw_anomaly
61,rule_verified,10,lead_screw_anomaly,8,lead_screw_anomaly
23,rule_verified,10,base_imbalance,8,lead_screw_anomaly
0,rule_verified,10,normal_machining,8,base_imbalance
43,rule_verified,10,lead_screw_anomaly,8,base_imbalance
24,rule_verified,10,base_imbalance,8,base_imbalance
16,random_open_loop,10,normal_machining,8,normal_machining
48,random_open_loop,10,lead_screw_anomaly,8,normal_machining
7,random_open_loop,10,base_imbalance,8,normal_machining
49,random_open_loop,10,normal_machining,8,lead_screw_anomaly
25,random_open_loop,10,lead_screw_anomaly,8,lead_screw_anomaly
45,random_open_loop,10,base_imbalance,8,lead_screw_anomaly
7,random_open_loop,10,normal_machining,8,base_imbalance
25,random_open_loop,10,lead_screw_anomaly,8,base_imbalance
35,random_open_loop,10,base_imbalance,8,base_imbalance
7,real_only,10,normal_machining,9,normal_machining
52,real_only,10,lead_screw_anomaly,9,normal_machining
12,real_only,10,base_imbalance,9,normal_machining
25,real_only,10,normal_machining,9,lead_screw_anomaly
53,real_only,10,lead_screw_anomaly,9,lead_screw_anomaly
41,real_only,10,base_imbalance,9,lead_screw_anomaly
6,real_only,10,normal_machining,9,base_imbalance
19,real_only,10,lead_screw_anomaly,9,base_imbalance
42,real_only,10,base_imbalance,9,base_imbalance
8,noise_aug,10,normal_machining,9,normal_machining
46,noise_aug,10,lead_screw_anomaly,9,normal_machining
17,noise_aug,10,base_imbalance,9,normal_machining
24,noise_aug,10,normal_machining,9,lead_screw_anomaly
42,noise_aug,10,lead_screw_anomaly,9,lead_screw_anomaly
53,noise_aug,10,base_imbalance,9,lead_screw_anomaly
7,noise_aug,10,normal_machining,9,base_imbalance
5,noise_aug,10,lead_screw_anomaly,9,base_imbalance
55,noise_aug,10,base_imbalance,9,base_imbalance
6,llm_closed_loop,10,normal_machining,9,normal_machining
53,llm_closed_loop,10,lead_screw_anomaly,9,normal_machining
12,llm_closed_loop,10,base_imbalance,9,normal_machining
30,llm_closed_loop,10,normal_machining,9,lead_screw_anomaly
55,llm_closed_loop,10,lead_screw_anomaly,9,lead_screw_anomaly
34,llm_closed_loop,10,base_imbalance,9,lead_screw_anomaly
0,llm_closed_loop,10,normal_machining,9,base_imbalance
43,llm_closed_loop,10,lead_screw_anomaly,9,base_imbalance
24,llm_closed_loop,10,base_imbalance,9,base_imbalance
13,rule_verified,10,normal_machining,9,normal_machining
49,rule_verified,10,lead_screw_anomaly,9,normal_machining
9,rule_verified,10,base_imbalance,9,normal_machining
46,rule_verified,10,normal_machining,9,lead_screw_anomaly
30,rule_verified,10,lead_screw_anomaly,9,lead_screw_anomaly
43,rule_verified,10,base_imbalance,9,lead_screw_anomaly
0,rule_verified,10,normal_machining,9,base_imbalance
54,rule_verified,10,lead_screw_anomaly,9,base_imbalance
13,rule_verified,10,base_imbalance,9,base_imbalance
11,random_open_loop,10,normal_machining,9,normal_machining
56,random_open_loop,10,lead_screw_anomaly,9,normal_machining
4,random_open_loop,10,base_imbalance,9,normal_machining
39,random_open_loop,10,normal_machining,9,lead_screw_anomaly
44,random_open_loop,10,lead_screw_anomaly,9,lead_screw_anomaly
36,random_open_loop,10,base_imbalance,9,lead_screw_anomaly
6,random_open_loop,10,normal_machining,9,base_imbalance
15,random_open_loop,10,lead_screw_anomaly,9,base_imbalance
46,random_open_loop,10,base_imbalance,9,base_imbalance
14,real_only,25,normal_machining,0,normal_machining
38,real_only,25,lead_screw_anomaly,0,normal_machining
19,real_only,25,base_imbalance,0,normal_machining
36,real_only,25,normal_machining,0,lead_screw_anomaly
26,real_only,25,lead_screw_anomaly,0,lead_screw_anomaly
57,real_only,25,base_imbalance,0,lead_screw_anomaly
0,real_only,25,normal_machining,0,base_imbalance
33,real_only,25,lead_screw_anomaly,0,base_imbalance
34,real_only,25,base_imbalance,0,base_imbalance
23,noise_aug,25,normal_machining,0,normal_machining
33,noise_aug,25,lead_screw_anomaly,0,normal_machining
15,noise_aug,25,base_imbalance,0,normal_machining
43,noise_aug,25,normal_machining,0,lead_screw_anomaly
26,noise_aug,25,lead_screw_anomaly,0,lead_screw_anomaly
50,noise_aug,25,base_imbalance,0,lead_screw_anomaly
0,noise_aug,25,normal_machining,0,base_imbalance
30,noise_aug,25,lead_screw_anomaly,0,base_imbalance
37,noise_aug,25,base_imbalance,0,base_imbalance
18,llm_closed_loop,25,normal_machining,0,normal_machining
46,llm_closed_loop,25,lead_screw_anomaly,0,normal_machining
7,llm_closed_loop,25,base_imbalance,0,normal_machining
66,llm_closed_loop,25,normal_machining,0,lead_screw_anomaly
23,llm_closed_loop,25,lead_screw_anomaly,0,lead_screw_anomaly
30,llm_closed_loop,25,base_imbalance,0,lead_screw_anomaly
0,llm_closed_loop,25,normal_machining,0,base_imbalance
28,llm_closed_loop,25,lead_screw_anomaly,0,base_imbalance
39,llm_closed_loop,25,base_imbalance,0,base_imbalance
32,rule_verified,25,normal_machining,0,normal_machining
38,rule_verified,25,lead_screw_anomaly,0,normal_machining
1,rule_verified,25,base_imbalance,0,normal_machining
73,rule_verified,25,normal_machining,0,lead_screw_anomaly
14,rule_verified,25,lead_screw_anomaly,0,lead_screw_anomaly
32,rule_verified,25,base_imbalance,0,lead_screw_anomaly
0,rule_verified,25,normal_machining,0,base_imbalance
19,rule_verified,25,lead_screw_anomaly,0,base_imbalance
48,rule_verified,25,base_imbalance,0,base_imbalance
24,random_open_loop,25,normal_machining,0,normal_machining
44,random_open_loop,25,lead_screw_anomaly,0,normal_machining
3,random_open_loop,25,base_imbalance,0,normal_machining
51,random_open_loop,25,normal_machining,0,lead_screw_anomaly
28,random_open_loop,25,lead_screw_anomaly,0,lead_screw_anomaly
